Date,Open,High,Low,Close,Adj Close,Volume
2021-12-28,26.740000,26.930000,26.549999,26.549999,26.549999,127689
2021-12-29,26.690001,26.980000,26.670000,26.830000,26.830000,170531
2021-12-30,26.740000,26.850000,26.610001,26.620001,26.620001,87877
2021-12-31,26.650000,26.650000,26.260000,26.260000,26.260000,90607
2022-01-03,26.410000,27.260000,26.400000,27.219999,27.219999,180857
2022-01-04,27.370001,28.049999,27.350000,27.969999,27.969999,291139
2022-01-05,28.030001,28.070000,27.559999,27.920000,27.920000,256518
2022-01-06,27.700001,28.370001,27.559999,27.940001,27.940001,213289
2022-01-07,27.959999,28.219999,27.770000,27.940001,27.940001,178085
2022-01-10,27.990000,28.190001,27.809999,28.059999,28.059999,279483
2022-01-11,28.219999,28.440001,28.100000,28.260000,28.260000,221779
2022-01-12,28.430000,28.490000,28.120001,28.230000,28.230000,167299
2022-01-13,28.240000,28.600000,28.139999,28.410000,28.410000,223872
2022-01-14,28.400000,29.080000,28.309999,29.070000,29.070000,257377
2022-01-17,29.180000,29.330000,28.370001,28.580000,28.580000,377660
2022-01-18,28.590000,28.879999,28.530001,28.790001,28.790001,180739
2022-01-19,28.840000,29.040001,28.610001,28.920000,28.920000,161716
2022-01-20,28.959999,29.030001,28.280001,28.549999,28.549999,260448
2022-01-21,28.490000,28.700001,28.260000,28.629999,28.629999,223343
2022-01-24,28.600000,28.799999,28.100000,28.559999,28.559999,515759
2022-01-25,28.660000,29.270000,28.450001,29.059999,29.059999,279373
2022-01-26,29.280001,29.670000,28.780001,28.930000,28.930000,252297
2022-01-27,28.750000,29.639999,28.660000,29.430000,29.430000,194617
2022-01-28,29.370001,29.400000,28.450001,28.780001,28.780001,267330
2022-01-31,29.100000,29.270000,28.520000,28.660000,28.660000,691804
2022-02-01,28.850000,28.900000,28.219999,28.500000,28.500000,323621
2022-02-02,28.549999,28.660000,28.280001,28.440001,28.440001,167707
2022-02-03,28.500000,28.660000,27.840000,28.230000,28.230000,204615
2022-02-04,28.309999,28.389999,27.680000,28.040001,28.040001,173333
2022-02-07,28.070000,28.540001,27.980000,28.540001,28.540001,139623
2022-02-08,28.600000,28.940001,28.400000,28.770000,28.770000,220830
2022-02-09,29.400000,30.850000,29.400000,30.700001,30.700001,572378
2022-02-10,30.850000,32.299999,30.520000,31.100000,31.100000,2986400
2022-02-11,30.790001,31.110001,29.629999,29.940001,29.940001,555566
2022-02-14,29.120001,29.430000,28.110001,29.360001,29.360001,663855
2022-02-15,29.240000,29.700001,28.900000,29.400000,29.400000,278590
2022-02-16,29.500000,30.040001,29.370001,30.040001,30.040001,269691
2022-02-17,30.049999,30.350000,29.590000,29.740000,29.740000,194113
2022-02-18,29.760000,30.150000,29.459999,29.590000,29.590000,179344
2022-02-21,29.639999,29.650000,28.620001,28.959999,28.959999,206263
2022-02-22,28.450001,28.660000,28.200001,28.320000,28.320000,298158
2022-02-23,28.389999,28.639999,28.129999,28.320000,28.320000,255067
2022-02-24,27.700001,28.020000,27.049999,27.540001,27.540001,499775
2022-02-25,27.549999,28.450001,27.549999,28.290001,28.290001,319629
2022-02-28,27.910000,28.170000,27.410000,27.969999,27.969999,413817
2022-03-01,27.920000,28.309999,27.620001,27.719999,27.719999,258235
2022-03-02,27.740000,28.150000,27.330000,28.010000,28.010000,254019
2022-03-03,28.080000,28.340000,27.190001,27.190001,27.190001,325519
2022-03-04,27.170000,27.170000,24.719999,24.719999,24.719999,498481
2022-03-07,24.200001,25.950001,23.440001,25.469999,25.469999,509601
2022-03-08,25.400000,26.610001,25.290001,25.900000,25.900000,390392
2022-03-09,26.620001,27.459999,26.549999,26.889999,26.889999,502773
2022-03-10,27.010000,27.240000,26.360001,26.500000,26.500000,77972
